Most used words by Superorganism: 
Number of songs scanned: 12

1. prawn - 42 uses.
2. mind - 37 uses.
3. nighttime - 24 uses.
4. oh-oh - 24 uses.
5. everybody - 22 uses.
6. wants - 22 uses.
7. wake - 21 uses.
8. relax - 17 uses.
9. nobody - 14 uses.
10. something - 13 uses.
11. most - 12 uses.
12. na - 12 uses.
13. cares - 12 uses.
14. hello - 10 uses.
15. good - 9 uses.
16. over - 9 uses.
17. matter - 9 uses.
18. famous - 9 uses.
19. better - 9 uses.
20. hang - 9 uses.
21. ever - 9 uses.
22. doesnt - 8 uses.
23. cost - 8 uses.
24. m-i - 8 uses.
25. feel - 7 uses.
26. world - 7 uses.
27. congratulations - 7 uses.
28. going - 7 uses.
29. without - 7 uses.
30. nobodys - 6 uses.
31. ashamed - 6 uses.
32. happy - 6 uses.
33. being - 6 uses.
34. care - 6 uses.
35. tokyo - 6 uses.
36. turn - 5 uses.
37. life - 5 uses.
38. tell - 5 uses.
39. feeling - 5 uses.
40. stars - 5 uses.
41. think - 5 uses.
42. screen - 5 uses.
43. need - 5 uses.
44. together - 5 uses.
45. different - 5 uses.
46. never - 5 uses.
47. seen - 5 uses.
48. since - 5 uses.
49. nothing - 4 uses.
50. yourself - 4 uses.
51. does - 4 uses.
52. weve - 4 uses.
53. breathing - 4 uses.
54. boss - 4 uses.
55. staring - 4 uses.
56. calling - 4 uses.
57. shots - 4 uses.
58. mars - 4 uses.
59. seems - 4 uses.
60. superorganism - 4 uses.
61. give - 4 uses.
62. same - 4 uses.
63. 정신에 - 4 uses.
64. 집어넣으세요 - 4 uses.
65. m-i-n-d - 4 uses.
66. people - 4 uses.
67. ooh - 4 uses.
68. changed - 4 uses.
69. scream - 3 uses.
70. dream - 3 uses.
71. looking - 3 uses.
72. back - 3 uses.
73. cold - 3 uses.
74. face - 3 uses.
75. name - 3 uses.
76. grow - 3 uses.
77. brain - 3 uses.
78. everything - 3 uses.
79. thing - 3 uses.
80. even - 3 uses.
81. though - 3 uses.
82. blah - 3 uses.
83. bang - 3 uses.
84. kinda - 3 uses.
85. sea - 3 uses.
86. stealing - 3 uses.
